,Date,Description,Type,Street,Year,Month,Latitude,Longitude
70,2020-05-22 22:01:00,Shots fired at Silloway and Mather streets in Dorchester,Gunfire,Silloway St. and Mather St.,2020,5,42.2946878,-71.06267059999999
71,2020-05-18 22:15:00,Hail of bullets fired at gas station at Washington Street and Gallivan Boulevard in Dorchester,Gunfire,970 Washington St.,2020,5,42.2792464,-71.0693924
72,2020-05-18 12:00:00,Man shot to death on Bernard Street in Dorchester,Murder,45 Bernard St.,2020,5,42.2940961,-71.0803954
73,2020-05-18 12:00:00,One of four men sliced up in Dorchester knife fight now faces gun charges,Illegal gun possession,69 Hancock St.,2020,5,42.3132119,-71.0652605
74,2020-05-16 20:45:00,"Knife fight ends with four stabbed, one in the chest, in Dorchester",Stabbing,Hancock St. and Trull St.,2020,5,42.3128389,-71.06476669999999
75,2020-05-16 20:35:00,Man charged with gunfire on Sumner Street in Dorchester,Gunfire,69 Sumner St.,2020,5,42.3173208,-71.0623841
76,2020-05-16 19:50:00,Man shot to death on Bellevue Street in Dorchester,Murder,45 Bellevue St.,2020,5,42.3099617,-71.0684175
77,2020-05-14 22:30:00,Shots fired in Franklin Field,Gunfire,Ames St. and Westview Way,2020,5,42.2907372,-71.08649199999999
78,2020-05-13 21:15:00,Shots fired on Harvard Street in Dorchester,Gunfire,Harvard St. and Norwell St.,2020,5,42.2967956,-71.0784654
79,2020-05-12 21:40:00,"Man stabbed in the chest in Dorchester, suspect arrested",Stabbing,Dorchester Ave. and Lyon St.,2020,5,42.3067406,-71.0586336
80,2020-05-09 23:59:00,"Police: Two men arranging a car sale in Dorchester are robbed by two other men; money recovered, car still at large, cop kneed",Armed robbery,Bowdoin St. and Hamilton St.,2020,5,42.3062456,-71.0670098
81,2020-05-05 12:48:00,"Police say man didn't observe coronavirus etiquette and back up in line at a Codman Square ATM, instead, he started waving a gun around",Illegal gun possession,569 Washington St.,2020,5,42.2917926,-71.07201549999999
82,2020-05-02 23:00:00,Person in car shot on Corona Street in Dorchester,Shooting,Corona St. and Geneva Avenue,2020,5,42.3016415,-71.0684571
83,2020-05-01 19:10:00,Gunfire on Massachusetts Avenue at South Bay,Gunfire,1100 Massachusetts Ave.,2020,5,42.3264764,-71.06511119999999
84,2020-05-01 17:59:00,Police: Gang unit nabs teen with loaded gun in Dorchester a week after he pistol whipped somebody in a robbery,Armed robbery,Judson St. and Brookford St.,2020,5,42.3184397,-71.0757544
85,2020-04-30 21:20:00,Shots fired on Callender Street in Dorchester,Gunfire,Callender St. and Carlos St.,2020,4,42.28782349999999,-71.08549289999999
86,2020-04-26 21:47:00,Burst of gunfire at Millet and Athelwold streets in Dorchester,Gunfire,Millet St. and Athelwold St.,2020,4,42.2959795,-71.0775586
87,2020-04-15 15:55:00,Teen shot to death at Topliff and Speedwell streets in Dorchester; another teen arrested,Murder,30 Topliff St.,2020,4,42.3037917,-71.0681853
88,2020-04-14 20:20:00,Man in car shot on Harvard Street in Dorchester,Shooting,144 Harvard St.,2020,4,42.2962034,-71.08076679999999
89,2020-04-04 17:53:00,"Man had a ride share waiting while he robbed three at gunpoint in Dorchester, police say",Armed robbery,20A Frontenac St.,2020,4,42.2847045,-71.08993439999999
90,2020-03-28 14:01:00,"Crime in the time of corornavirus: After man is shot in Dorchester, large crowd gathers",Shooting,Westville Street and Louis D. Brown Way,2020,3,42.3005542,-71.06918259999999
91,2020-03-22 18:10:00,Person shot outside Codman Square KFC,Shotting,Washington St. and Regina Rd.,2020,3,42.29504559999999,-71.0720427
92,2020-03-20 01:17:00,Dorchester man charged with smashing two women in the face with bottles; pal charged with trying to do the same with the butt of a gun,Assault and battery with a dangerous weapon,Percival St.,2020,3,42.3064925,-71.0637358
93,2020-03-17 22:00:00,Market on Talbot Avenue in Dorchester robbed at gunpoint,Armed robbery,466 Talbot Ave.,2020,3,42.2889777,-71.0665345
94,2020-03-07 04:27:00,Gunfire on Algonquin Street in Dorchester,Gunfire,36 Algonquin St.,2020,3,42.2973101,-71.0750564
95,2020-03-03 21:30:00,Man shot on Hancock Street in Dorchester,Shooting,68 Hancock St.,2020,3,42.3133555,-71.0647962
96,2020-02-27 22:20:00,House hit with gunfire on Mora Street in Dorchester,Gunfire,74 Mora St.,2020,2,42.2817111,-71.074685
97,2020-02-27 14:20:00,Man charged with murdering his mother on Columbia Road in Dorchester,Murder,357 Columbia Rd.,2020,2,42.3104665,-71.0711566
98,2020-02-23 13:55:00,"Man was walking down Burt Street in Dorchester with a loaded gun, police say",Illegal gun possession,Ashmont St. and Ocean St.,2020,2,42.2851426,-71.0666988
99,2020-02-20 23:10:00,Man shot to death on Woodrow Avenue in Dorchester,Murder,89 Woodrow Ave.,2020,2,42.2877308,-71.0822988
100,2020-02-19 12:11:00,Teen shot to death on Cameron Street in Dorchester,Murder,6 Cameron St.,2020,2,42.310837,-71.0629864
101,2020-02-16 13:15:00,"Red Line rider bites man as train hurtles through Dorchester, police say",,,2020,2,42.30163049999999,-71.067605
102,2020-02-11 14:45:00,"Two teens with loaded guns arrested after gunfire in Dorchester, police say",Illegal gun possession,21 Bullard St.,2020,2,42.302602,-71.073071
103,2020-02-10 23:27:00,"Officer shoots man who was repeatedly stabbing another man in Fields Corner and refused to stop, police say",Stabbing,208 Adams St.,2020,2,42.3019802,-71.059956
104,2020-02-07 18:30:00,Man shot to death in Uphams Corner,Murder,566 Columbia Rd.,2020,2,42.3165944,-71.06614259999999
105,2020-02-05 18:30:00,Man shot to death on Magnolia Street in Dorchester,Murder,149 Magnolia St.,2020,2,42.3140933,-71.072248
106,2020-02-02 21:20:00,Person shot on Armandine Street in Dorchester,Shooting,126 Armandine St.,2020,2,42.2837275,-71.0762635
107,2020-02-02 20:47:00,"One arrested, two sought for mini-crime wave: Driver carjacked, stabbed, pistol whipped; gun fired, arrest after foot chase, police say",Armed carjacking,Arbutus St. and Irma St.,2020,2,42.2873384,-71.0874321
108,2020-01-23 22:30:00,Seven arrested after several shots fired into Harbor Point apartment,Gunfire,36 Harbor Point Blvd.,2020,1,42.3192802,-71.0414232
109,2020-01-22 09:47:00,"Teens were hanging out in the back of the Codman Square post office with loaded gun, stolen Bluebike, police say",Illegal gun possession,554 Washington St.,2020,1,42.2922224,-71.0715396
110,2020-01-20 20:00:00,Dorchester jewelry store robbed at hammerpoint,Armed robbery,1391 Dorchester Ave.,2020,1,42.3034757,-71.0595013
111,2020-01-18 03:30:00,Gun battle erupts on Dorchester street; no reports of injuries,Gunfire,250 Washington St.,2020,1,42.3022326,-71.07740240000001
112,2020-01-14 23:04:00,Two young teens charged with smashing guy in head with replica gun in robbery near South Bay,Armed robbery,Boston St. and Howell St.,2020,1,42.32540849999999,-71.0590895
113,2020-01-12 07:33:00,Police say man was driving around Dorchester with a loaded gun,Illegal gun possession,195 Columbia Rd.,2020,1,42.306607,-71.0766359
114,2020-01-11 20:25:00,Two men shot on Washington Street in Grove Hall; one dead,Murder,Washington St and Normandy St.,2020,1,42.306916,-71.0821864
115,2020-01-01 17:50:00,Police hunt two for attack on MBTA worker at Fields Corner,Assault and battery with a dangerous weapon,50 Freeman St.,2020,1,42.29965079999999,-71.0622358
116,2019-12-31 10:50:00,Police say couple had enough room left in their diaper bag for a gun loaded with 17 rounds,Illegal gun possession,729 Dudley St.,2019,12,42.3178043,-71.067106
117,2019-12-29 22:45:00,Man stabbed in the stomach in Fields Corner,Stabbing,1593 Dorchester Ave.,2019,12,42.2963783,-71.0615463
118,2019-12-27 20:03:00,"Four Uber passengers tried to rob driver, but then he spotted a cruiser, police say",Attemped unarmed robbery,1150 Blue Hill Ave.,2019,12,42.2850499,-71.0909509
119,2019-12-26 21:55:00,Man shot in the stomach on Intervale Street in Dorchester,Shooting,108 Intervale St.,2019,12,42.3103834,-71.0767125
120,2019-12-24 20:35:00,Man stabbed on Southern Avenue in Dorchester,Stabbing,Southern Ave. and Darlington St.,2019,12,42.28993670000001,-71.0761089
121,2019-12-22 18:45:00,Two shot on Washington Street in Codman Square,Shooting,544 Washington St.,2019,12,42.29262809999999,-71.0716535
122,2019-12-17 16:15:00,Man in car found shot at Callender and Ashton streets in Dorchester,Shooting,Callender St. and Ashton St.,2019,12,42.288781,-71.0887508
123,2019-12-05 16:00:00,"Man shot on Morton Street in Mattapan, found on Norfolk Street in Dorchester",Shooting,900 Morton St.,2019,12,42.2808379,-71.0837669
124,2019-11-26 20:30:00,Woman stabbed on Blue Hill Avenue near Woodrow Avenue,Stabbing,1117 Blue Hill Ave.,2019,11,42.2863068,-71.091027
125,2019-11-21 21:20:00,Man stabbed on Dudley Street in Uphams Corner,Stabbing,735 Dudley St.,2019,11,42.31768400000001,-71.06702899999999
126,2019-10-31 21:30:00,Man shot in Franklin Field,Shooting,77 Ames St.,2019,10,42.28946639999999,-71.0846227
127,2019-10-18 01:15:00,Gallivan Boulevard CVS robbed at gunpoint,Armed robbery,703 Gallivan Blvd.,2019,10,42.283249,-71.0474553
128,2019-10-16 01:05:00,Man charged with firing shots into the air in Uphams Corner,Gunfire,12 Arion St.,2019,10,42.3163419,-71.066839
129,2019-10-14 19:59:00,Police: Dorchester man gets into argument while holding a rifle loaded with 23 rounds,Illegal gun possession,381 Centre St.,2019,10,42.2947063,-71.0574142
130,2019-10-09 17:00:00,"Pack of men stomp, rob disabled man at Ashmont T station, police say",Assault and battery with a dangerous weapon,Ashmont MBTA Station,2019,10,42.28445480000001,-71.06374439999999
131,2019-09-29 01:50:00,"Man lying in the middle of a Dorchester street arrested, not for obstructing traffic, but for the loaded gun police say was sticking out of his pocket",Illegal gun possession,22 Floyd St.,2019,9,42.2898947,-71.0886404
132,2019-09-17 22:30:00,Man shot on Creston Street in Grove Hall,Shooting,34 Creston St.,2019,9,42.3119485,-71.07848500000001
133,2019-09-17 17:09:00,"Man in South Boston car crash pulled gun on other driver, but stowed it in his fanny pack before officers arrived, police say",Assault with a dangerous weapon,220 Dorchester Ave.,2019,9,42.3400828,-71.05678739999999
134,2019-09-16 23:46:00,Man found fatally shot in lobby of Morrissey Boulevard hotel,Murder,800 Morrissey Blvd.,2019,9,42.2948199,-71.04739219999999
135,2019-08-25 22:00:00,Man stabbed at party on Westcott Street in Dorchester,Stabbing,3 Westcott St.,2019,8,42.2938529,-71.0791883
136,2019-08-24 22:00:00,Man shot on Ronald Street in Dorchester,Shooting,Columbia Rd. and Washington St.,2019,8,42.3053422,-71.0804687
137,2019-08-24 03:40:00,"Bloody 12 hours around Franklin Field and Harambee Park: Four separate shootings, one in a shootout in front of police, one dead",Murder,91 Westview St.,2019,8,42.290835,-71.0834977
138,2019-08-22 23:35:00,Man stabbed on Westville Street in Dorchester,Stabbing,208 Westville St.,2019,8,42.301809,-71.06484259999999
139,2019-08-12 18:30:00,"Man who was arrested in March on gun charges is arrested again on gun charges, but this time while wearing an ankle bracelet, police say",Illegal gun possession,Columbia Rd. and Buttonwood St.,2019,8,42.3211007,-71.0558563
140,2019-08-10 19:20:00,Police say guy punched out elderly man who tried to calm him down after his pal wasn't allowed on a Mattapan trolley with a bicycle,Assault and battery,Buttler St. and Branchfield St.,2019,8,42.2723497,-71.0630365
141,2019-08-08 17:39:00,"Man with two loaded guns was driving stolen car near scene of double shooting in Dorchester, police say",Illegal gun possession,27 Ellington St.,2019,8,42.301913,-71.084211
142,2019-08-07 21:50:00,Two teens shot on Michigan Avenue in Dorchester,Shooting,41 Michigan Ave.,2019,8,42.3018208,-71.082763
143,2019-08-07 20:34:00,Police: Teen was riding around Dorchester in car with loaded high-capacity gun - and two young kids not in car seats,Illegal gun possession,15 Jacob St.,2019,8,42.2859649,-71.0833317
144,2019-08-06 01:30:00,Man shot in the head in Dorchester,Murder,46 Wildwood St.,2019,8,42.2831688,-71.08824109999999
145,2019-08-04 20:50:00,Person shot on Blue Hill Avenue at Harvard Street in Dorchester,Shooting,Blue Hill Ave. and Harvard St.,2019,8,42.29493,-71.08782130000002
146,2019-08-02 10:33:00,Two sought for armed home invasion in Roxbury,Armed home invasion,Rand St. and Julian St.,2019,8,42.31935199999999,-71.07649099999999
147,2019-07-28 23:13:00,"Two shot on Columbia Road in Dorchester, one dead",Murder,Columbia Rd. and Geneva Ave.,2019,7,42.306051,-71.07827379999999
148,2019-07-28 00:55:00,"Driver hits two on a scooter in Dorchester, drives off",Hit and run,Dunbar Avenue,2019,7,42.2864292,-71.0722172
149,2019-07-27 17:30:00,Traffic stop in Kosciuszko Circle ends with two arrested on gun charges,Illegal gun possession,Kosciuszko Circle,2019,7,42.3216992,-71.051281
150,2019-07-20 17:30:00,Man stabbed behind Dorchester's giant pear; suspect arrested at nearby mall,Stabbing,695 Columbia Rd.,2019,7,42.3200014,-71.06173199999999
151,2019-07-19 23:55:00,"Two shot on Norfolk Street in Dorchester, then their ambulance crashes",Shooting,191 Norfolk St.,2019,7,42.2863739,-71.0797918
152,2019-07-18 00:13:00,Shots fired across from Ashmont T stop,Gunfire,Bailey St. and Dorchester Ave.,2019,7,42.2847655,-71.0645797
153,2019-07-14 23:37:00,Man shot to death in Uphams Corner,Murder,Columbia Rd. and Dudley St.,2019,7,42.3170049,-71.06503289999999
154,2019-07-07 16:30:00,Man shot on Winston Road in Dorchester,Shooting,42 Winston Rd.,2019,7,42.2849561,-71.08782330000001
155,2019-07-07 16:01:00,Police say man stopped for busted brake light in Dorchester had two loaded guns in car,Illegal gun possession,158 Harvard St.,2019,7,42.2961309,-71.08164880000001
156,2019-07-07 02:50:00,Three arrested in Attleboro after car is shot in Dorchester,Gunfire,Gallivan Blvd. and Washington St.,2019,7,42.2788074,-71.0695042
157,2019-07-07 01:55:00,Man shot on Stratton Street in Dorchester,Shooting,Stratton St.,2019,7,42.2892527,-71.08661
158,2019-06-25 20:30:00,Person shot on Theodore Street in Dorchester,Shooting,12 Theodore St.,2019,6,42.3304489,-71.06912860000001
159,2019-06-23 22:45:00,Man shot in the face on Fayston Street in Dorchester,Shooting,82 Fayston St.,2019,6,42.3123844,-71.0754278
160,2019-06-23 22:00:00,Two shot on Columbia Road in Dorchester,Shooting,197 Columbia Rd.,2019,6,42.3067789,-71.0765965
161,2019-06-16 01:18:00,Man shot to death on Michigan Avenue in Dorchester,Murder,6 Michigan Ave.,2019,6,42.3029667,-71.0835987
162,2019-06-14 03:32:00,Man fatally shot on Devon Street in Dorchester,Murder,107 Devon St.,2019,6,42.3086378,-71.0780741
163,2019-05-30 22:45:00,Man stabbed to death on Tremlett Street in Dorchester,Murder,Tremlett St.,2019,5,42.2949768,-71.0694638
164,2019-05-27 00:09:00,Man shot on Fuller Street in Dorchester,Shooting,Fuller St.,2019,5,42.2815443,-71.0734988
165,2019-05-22 10:51:00,Police hunt Codman Square bank robber,Bank robbery,305 Talbot Ave.,2019,5,42.2903317,-71.07303689999999
166,2019-05-21 20:45:00,Man shot to death on Millet Street in Dorchester,Murder,95 Millet St.,2019,5,42.2932929,-71.0769311
167,2019-05-12 18:20:00,Man wanted for armed robbery at Shawmut T stop involving a phone advertised online,Armed robbery,Dayton St.,2019,5,42.2933323,-71.06544579999999
168,2019-05-10 05:07:00,Woman stabbed on Dorchester Avenue,Stabbing,1331 Dorchester Ave.,2019,5,42.3052242,-71.0591575
169,2019-05-08 10:00:00,Man found fatally shot on Milton Avenue in Dorchester,Murder,66 Milton Ave.,2019,5,42.2842686,-71.07682059999999
170,2019-05-06 00:34:00,Cops responding to gunfire on Magnolia Street in Dorchester recover gun and magazine loaded with 22 rounds,Gunfire,68 Magnolia St.,2019,5,42.3162647,-71.07082919999999
171,2019-05-01 18:26:00,"Four shot, one dead on Windermere Road in Dorchester",Murder,32 Windermere Rd.,2019,5,42.31385050000001,-71.0626363
172,2019-04-17 07:45:00,"Two men angrily flashed weapons at each other as they sped down the Expressway, State Police say",Assault with a dangerous weapon,I-93 and Neponset Circle,2019,4,42.2852423,-71.0425942
173,2019-04-14 03:00:00,Gunfire erupts again on Westville Street in Dorchester,Gunfire,Westville St. and Geneva Ave.,2019,4,42.3010051,-71.0673838
174,2019-04-11 21:42:00,Gunfire on Westville Street in Dorchester,gunfire,35 Westville St.,2019,4,42.2997646,-71.0710406
175,2019-03-26 16:10:00,"Cab passenger arrested with loaded gun in Dorchester, police say",Illegal gun possession,Talbot Ave. and Nightigale St.,2019,3,42.2943272,-71.0859842
176,2019-03-21 23:40:00,"Man shot in Dorchester, found by police two miles away in Roxbury",Shooting,39 Claybourne St.,2019,3,42.2982522,-71.0720852
177,2019-03-18 21:35:00,Jamaica Plain woman arrested for second time on charges she was driving around Dorchester with a loaded gun,Illegal gun possession,225 Washington St.,2019,3,42.301834,-71.077681
178,2019-03-06 15:19:00,Police: 15-year-old with loaded gun arrested in Dorchester,Illegal gun possession,Talbot Ave. and Washington St.,2019,3,42.2901961,-71.07160139999999
